"","1.BC31","1.BC39","1.BC47","1.CR3","2.BC10","2.BC11","2.BC27","2.BC2","2.BC30","2.BC35","2.BC36","2.BC38","2.BC3","2.BC41","2.BC4","2.BC59","2.BC5","2.BC6","2.BC7","2.BC8","2.BC93","2.BC9","2.CR12","2.CR15","3.BC12","3.BC50","3.BC55","3.BC58","3.BC62","3.BC74","3.BC75","3.BC77","3.BC80","3.BC82","3.BC83","3.BC84","3.BC86","3.CR1","3.CR4","3.CR5","3.CR8"
"hsa-miR-6732-3p",0,0,2.19225942414014,0,0,0,0,0,0,0.423485460115689,0,0,0,0,0,0.0837938967016833,0,1.84501191392496,0,0,0,0,0,0,5.33272604644629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6733-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167587793403367,0,0,0,0,0,0,0.8402638794373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6734-3p",0,0,8.76903769656056,0,1.26074974688726,0,0,0.225492054301455,0,0.635228190173534,16.1066059121549,0,0,0,0,0.586557276911783,0,0,1.91698832693686,1.80164888159814,0,2.22175701776402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0580285996761,0,1.99124771967486
"hsa-miR-6734-5p",36.9058145362348,2.40202113093815,8.76903769656056,0,2.52149949377452,13.3771312784039,0,2.48041259731601,3.21819055857346,1.27045638034707,0,2.48501219978925,8.15767378163171,1.45128435346273,5.94866518427126,2.34622910764713,8.16705914590813,3.69002382784993,3.19498054489476,0.90082444079907,0,11.1087850888201,3.3610555177492,43.9056170993516,197.310863718513,12.9095476456643,3.35384378272305,5.03259653781252,8.36686519066263,5.19520249708273,1.73974176928271,6.1923181579962,3.99588820146514,6.98326760973676,4.46784826518229,2.79696760135083,4.36317309203994,0,178.737792195881,6.83023771341871,11.2007684231711
"hsa-miR-6735-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25138169010505,2.72235304863604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6735-5p",0,0,0,0,1.26074974688726,0,0,0.225492054301455,1.60909527928673,0.211742730057845,0,0,0,2.03179809484782,1.98288839475709,0.5027633802101,0,0,5.11196887183161,1.80164888159814,0,0,0,0,7.99908906966943,0.99304212658956,2.39560270194503,3.01955792268751,0.778313040991873,1.46820940134947,0.497069076937918,0,0.221993788970286,1.88011051031374,0.515520953674879,1.39848380067541,0.872634618407987,0,0,2.2767459044729,1.99124771967486
"hsa-miR-6736-5p",0,0,0,0,0,0,0,0,0,1.27045638034707,0,0,0,0,0,0.418969483508417,0,0,0,0,0,0,1.6805277588746,0,0,0,0,0,0.713453620909217,0.790574293034328,0.994138153875836,1.0320530263327,0,0,0,0,0.218158654601997,0,0,0,0
"hsa-miR-6737-3p",0,0,0,0,0,0,0,0,0,0,0,2.48501219978925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11293918471919,0,0,0,0.134293607879553,0.0859201589458132,0,0,0,0,0,0
"hsa-miR-6738-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638996108978952,0,0,0,0,0,0,0,0,0,0,0,0.248534538468959,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6739-3p",0,0,0,0,0,0,0,0.225492054301455,0,0,0,0,0,0,0,0.0837938967016833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859201589458132,0.155387088963935,0,0,0,0,0
