"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",2.16944518953733,0.167528338004314,1.5942339158639,0.105083912929761,0.916309224244973,0.941035028708726
"hsa-let-7a-5p",2486.83028074948,-2.36285763465774,0.46321750489685,-5.10096792474176,3.37920833357343e-07,7.28782597274004e-05
"hsa-let-7b-3p",1.5502458741178,0.206710985594722,0.677886743613312,0.304934397290172,0.760416117339367,0.832621336074657
"hsa-let-7b-5p",3361.01058941894,-0.802004375040659,0.306471136567754,-2.61690018845659,0.00887322833161031,0.0630876783577128
"hsa-let-7c-3p",0.0125792420730244,1.79466375712944,3.24032762740468,0.553852561682743,0.579679752944903,NA
"hsa-let-7c-5p",141.144431365056,-1.58764631839028,0.349429882716353,-4.54353332934334,5.53190539865836e-06,0.000357914279293196
"hsa-let-7d-3p",16.4975545725116,0.664474352076909,0.771701473408391,0.861051034595166,0.389209935748386,0.564616207240371
"hsa-let-7d-5p",403.088763948619,-0.845354690171595,0.384388698141471,-2.1992183804022,0.0278623980020914,0.12347240758461
"hsa-let-7e-3p",0.0744969456615751,1.12289164897339,3.23362779984847,0.347254451803639,0.728400166291973,NA
"hsa-let-7e-5p",51.6432653503004,-2.14498099549239,0.458115660133441,-4.68218221325942,2.83837003460586e-06,0.00025014822421774
"hsa-let-7f-1-3p",0.231685344978709,0.959781859372523,2.72897892493378,0.351699989546754,0.725063268404113,NA
"hsa-let-7f-2-3p",0.715970444801286,2.19615975605748,2.03422474357228,1.07960527124492,0.280317993122213,0.462667708035898
"hsa-let-7f-5p",1021.97713615266,-2.40192372525967,0.456648290967778,-5.25989864140137,1.44134829583411e-07,7.28782597274004e-05
"hsa-let-7g-3p",0.768717546734126,1.95096689904563,1.49883577091724,1.30165488234358,0.193034389388917,0.375054804608496
"hsa-let-7g-5p",1441.47023162993,-1.72553652653853,0.517498971096237,-3.33437672906529,0.000854907842648956,0.0122916749820861
"hsa-let-7i-3p",8.72551796619119,1.48885785305725,1.1026312376305,1.35027722981686,0.176927073433683,0.351140541446603
"hsa-let-7i-5p",6348.96728747135,-0.604010182987751,0.279731369811287,-2.15925079620219,0.0308307151640286,0.127461752145125
"hsa-miR-1-3p",7.898716353478,1.37316016674227,0.813264193662026,1.68845521227131,0.0913238795314192,0.243154526982832
"hsa-miR-100-5p",6.60179485216107,0.548032535844421,0.579436441679107,0.945802673812365,0.344249241557668,0.527794453288652
"hsa-miR-101-2-5p",0.84047368447693,1.81653919834639,1.44658332458319,1.25574460003525,0.209208583299824,0.391207957788977
"hsa-miR-101-3p",3957.29943151908,0.696276614200339,1.00339295497815,0.693922167527578,0.487731020930104,0.637640548603598
"hsa-miR-101-5p",3.12941189903875,1.0173038177644,1.25388660262204,0.811320430122691,0.4171816805638,0.580465693171567
"hsa-miR-10226",0.00825442046391817,1.87717441021223,3.24077131076291,0.579236925474486,0.562429318489018,NA
"hsa-miR-10392-3p",0.0578106567576744,1.54854471317387,3.23967027723882,0.477994542856288,0.632654089147107,NA
"hsa-miR-10393-3p",0.0467558128521184,2.47295827482162,3.24042393296617,0.763158872412711,0.445368653143024,NA
"hsa-miR-10394-3p",0.0477549048449794,2.03020554303109,3.24029866751906,0.626548892971499,0.530954977960016,NA
"hsa-miR-10395-5p",0.119767692288239,1.03084345642633,3.22971465662234,0.31917477734841,0.74959398223868,NA
"hsa-miR-10396a-3p",0.292095548788532,2.4233021327331,3.24054629863249,0.747806668818691,0.454576779040668,NA
"hsa-miR-10396a-5p",0.268108889921891,2.45373671461142,2.83934792259232,0.864190223074587,0.387483402167174,NA
"hsa-miR-10396b-3p",0.409210833919357,2.80651066322059,2.64876691633429,1.05955365340511,0.289347707957192,NA
"hsa-miR-10396b-5p",0.277632342861159,2.803451794162,2.8085527174778,0.998183789364516,0.318190245638901,NA
"hsa-miR-10398-3p",0.328937335822302,1.1370511124523,2.07369156644916,0.548322195474471,0.583470689671783,NA
"hsa-miR-10398-5p",0.463815655489321,3.84645542889126,2.28408426843607,1.6840251833287,0.0921768019130091,NA
"hsa-miR-10399-3p",1.74748610528907,-0.0674296721079636,0.823883148001934,-0.0818437326597744,0.934770979069572,0.955445218733038
"hsa-miR-10399-5p",0.267196525293591,0.550773371286003,1.70026213426888,0.32393438646026,0.745987709805182,NA
"hsa-miR-103a-1-5p",0.0723337347895932,1.94769481763526,3.23985491925081,0.601167294887898,0.547728565288757,NA
"hsa-miR-103a-2-5p",0.208612305482479,1.69440645296696,2.68679312214473,0.630642694073297,0.528274176525992,NA
"hsa-miR-103a-3p",910.572932941031,0.621860174291528,0.546426016036471,1.13805008553989,0.255099568927077,0.435486599197412
"hsa-miR-103b",913.248369484424,0.636132455047089,0.549255750497293,1.15817167953388,0.24679398308444,0.425910239250122
"hsa-miR-10400-3p",0.12075057499359,2.67582608051179,3.23969104420544,0.825951007056001,0.40883188433446,NA
"hsa-miR-10400-5p",0.558112167496022,2.77838014243686,1.52143446709535,1.8261582753158,0.0678264242898916,NA
"hsa-miR-10401-3p",11.5789105336391,2.47597654350463,0.954120906456963,2.59503436802253,0.00945814609747317,0.0639414379795498
"hsa-miR-10401-5p",0.996945349655787,2.92323512323296,1.64235944671003,1.77989972237123,0.0750923731524136,0.213091076445665
"hsa-miR-10526-3p",0.0707541051215178,2.25782141097399,3.24098447096564,0.696646784704057,0.486023869469905,NA
"hsa-miR-10527-5p",2.34258843012119,0.410845343352642,0.858005387773611,0.478837719677637,0.632054080350763,0.754499981525726
