"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",2.16944518953733,-1.71365167669487,2.06874494116574,-0.828353289279451,0.407470451846683,0.574859940498067
"hsa-let-7a-5p",2486.83028074948,1.5979570393508,0.624141945007783,2.56024619420646,0.0104598034828482,0.0765614481734251
"hsa-let-7b-3p",1.5502458741178,-1.1639902114184,0.876621308405932,-1.32781418870028,0.184239498431636,0.36201974582996
"hsa-let-7b-5p",3361.01058941894,0.216619791346302,0.413320691765682,0.52409616954069,0.600211652628861,0.734741850631882
"hsa-let-7c-3p",0.0125792420730244,-5.04853908279966,4.17531008962498,-1.20914111154152,0.226608637106968,NA
"hsa-let-7c-5p",141.144431365056,0.865518475352152,0.476474935138799,1.81650368471119,0.0692931432264495,0.209353751875656
"hsa-let-7d-3p",16.4975545725116,-0.409722943760027,1.03832861738081,-0.394598527770097,0.693139200216796,0.808093320449795
"hsa-let-7d-5p",403.088763948619,0.843208986538242,0.522084774504367,1.61508059172714,0.106293243346234,0.264800711494126
"hsa-let-7e-3p",0.0744969456615751,-4.24628185655833,4.17042804442823,-1.01818849559854,0.308588385636776,NA
"hsa-let-7e-5p",51.6432653503004,1.74076111950327,0.628486063032596,2.76976884913513,0.00560960873850227,0.0538219216802245
"hsa-let-7f-1-3p",0.231685344978709,-3.82560492348537,3.51549995917804,-1.08821077169912,0.276502070508749,NA
"hsa-let-7f-2-3p",0.715970444801286,-4.26853750018289,2.61124715875262,-1.63467387063504,0.102117432853452,0.257440645537309
"hsa-let-7f-5p",1021.97713615266,2.1617167360137,0.616511894872382,3.50636663135458,0.000454269025981707,0.00977366692263673
"hsa-let-7g-3p",0.768717546734126,-3.38580000872068,1.92504593174304,-1.75881518092142,0.0786089054295168,0.226879361199012
"hsa-let-7g-5p",1441.47023162993,0.585536278561282,0.695106253465443,0.842369458830356,0.399581182762253,0.56627273405429
"hsa-let-7i-3p",8.72551796619119,-1.49525358306146,1.45947774019593,-1.02451277047962,0.305593142089535,0.478964968837903
"hsa-let-7i-5p",6348.96728747135,0.87815753763922,0.377213992654203,2.32800891467523,0.0199116303054944,0.112200456483341
"hsa-miR-1-3p",7.898716353478,-1.01881679276532,1.09948025400487,-0.926634915956211,0.354116119938351,0.527308383081522
"hsa-miR-100-5p",6.60179485216107,0.885148402446886,0.845694392427342,1.04665279842557,0.295259741089166,0.469836962264119
"hsa-miR-101-2-5p",0.84047368447693,-3.80152978887785,1.84631368543918,-2.05898370296355,0.0394957997083271,0.158288160408696
"hsa-miR-101-3p",3957.29943151908,0.642788938676664,1.32008050656894,0.486931619305066,0.626306790590135,0.75114496844425
"hsa-miR-101-5p",3.12941189903875,-1.90203285757616,1.64377902623792,-1.15710982268055,0.247227494015632,0.42093889868369
"hsa-miR-10226",0.00825442046391817,-5.13105031304224,4.17565443398317,-1.22880147152113,0.219146249686833,NA
"hsa-miR-10392-3p",0.0578106567576744,-5.15798100072451,4.17339563441742,-1.23591948920139,0.216488491882605,NA
"hsa-miR-10393-3p",0.0467558128521184,0,4.17634998089535,0,1,NA
"hsa-miR-10394-3p",0.0477549048449794,-5.13105381544076,4.17565441018554,-1.22880231729061,0.219145932503976,NA
"hsa-miR-10395-5p",0.119767692288239,-3.85918919054347,4.16801542083558,-0.925905689132455,0.354494994483495,NA
"hsa-miR-10396a-3p",0.292095548788532,-6.1172573660696,4.17034006433293,-1.46684857150806,0.142417253307128,NA
"hsa-miR-10396a-5p",0.268108889921891,-4.79504372449172,3.65674477591646,-1.31128750250008,0.189760649057798,NA
"hsa-miR-10396b-3p",0.409210833919357,-4.84867142941882,3.40950992227628,-1.42210216129294,0.15499659546399,NA
"hsa-miR-10396b-5p",0.277632342861159,-5.02594515934003,3.61645546628311,-1.38974341207789,0.164606807149959,NA
"hsa-miR-10398-3p",0.328937335822302,-3.90081523704171,2.65955878415151,-1.46671517858035,0.142453552054397,NA
"hsa-miR-10398-5p",0.463815655489321,-5.34542428265968,2.9359516542625,-1.82067857789792,0.0686557304002305,0.209353751875656
"hsa-miR-10399-3p",1.74748610528907,-0.721279899443828,1.07486921585081,-0.671039684463287,0.502195248994621,0.650338479074313
"hsa-miR-10399-5p",0.267196525293591,-2.70461700967149,2.17848638346012,-1.24151201045182,0.214416664101858,NA
"hsa-miR-103a-1-5p",0.0723337347895932,-5.04854247874385,4.17531006562534,-1.20914193183105,0.226608322018199,NA
"hsa-miR-103a-2-5p",0.208612305482479,-4.42499828533088,3.45820298382992,-1.27956580513682,0.20069788244796,NA
"hsa-miR-103a-3p",910.572932941031,0.827886386827339,0.734240138761673,1.1275417171058,0.259513512865553,0.431509588137103
"hsa-miR-103b",913.248369484424,0.749645704067371,0.737843167001911,1.01599599697239,0.309631292791135,0.484225149519176
"hsa-miR-10400-3p",0.12075057499359,0,4.17634995137787,0,1,NA
"hsa-miR-10400-5p",0.558112167496022,-3.94102060729108,1.94999245733879,-2.02104402632896,0.0432752077878395,0.162687970974775
"hsa-miR-10401-3p",11.5789105336391,-2.80500931358199,1.26028139761687,-2.22570079895341,0.0260342292175238,0.125510959082502
"hsa-miR-10401-5p",0.996945349655787,-3.80485380186498,2.12844277046435,-1.78762325896829,0.0738368103627254,0.218433897323063
"hsa-miR-10526-3p",0.0707541051215178,0,4.17635001899098,0,1,NA
"hsa-miR-10527-5p",2.34258843012119,-2.10272215153611,1.10350625059931,-1.90549183604002,0.0567161676710859,0.186428143733662
