"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-5p",2486.83028074948,1.5979570393508,0.624141945007783,2.56024619420646,0.0104598034828482,0.0765614481734251
"hsa-let-7e-5p",51.6432653503004,1.74076111950327,0.628486063032596,2.76976884913513,0.00560960873850227,0.0538219216802245
"hsa-let-7f-5p",1021.97713615266,2.1617167360137,0.616511894872382,3.50636663135458,0.000454269025981707,0.00977366692263673
"hsa-miR-126-3p",2458.90276193557,1.77413398514858,0.608539395450488,2.91539709411126,0.00355236235712661,0.0376444369188044
"hsa-miR-155-5p",55.8611117971243,1.54451864042519,0.514294217720436,3.00318103374977,0.00267173450207936,0.0305956692980055
"hsa-miR-26a-5p",1458.7581169144,2.13955961808322,0.554945357667533,3.85544196112553,0.000115520736289866,0.00422221372816609
