"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",2.16944518953733,-1.54612333869055,2.11691305435458,-0.730366953668746,0.465165912447994,0.726917749168617
"hsa-let-7a-5p",2486.83028074948,-0.764900595306948,0.634368418548481,-1.20576714247084,0.227907287995144,0.726917749168617
"hsa-let-7b-3p",1.5502458741178,-0.95727922582368,0.926528895928297,-1.03318874352491,0.301515579615748,0.726917749168617
"hsa-let-7b-5p",3361.01058941894,-0.585384583694357,0.420022458885163,-1.39369829234395,0.163408732129217,0.726917749168617
"hsa-let-7c-3p",0.0125792420730244,-3.25387532567021,4.24825330010799,-0.765932512919486,0.443716459020499,0.726917749168617
"hsa-let-7c-5p",141.144431365056,-0.722127843038129,0.486543928526403,-1.4841986523709,0.137756227219963,0.726917749168617
"hsa-let-7d-3p",16.4975545725116,0.254751408316882,1.0551899768389,0.241427054756583,0.809224146139617,0.905839589398522
"hsa-let-7d-5p",403.088763948619,-0.00214570363335342,0.530795648972157,-0.00404242882832293,0.996774617234193,1
"hsa-let-7e-3p",0.0744969456615751,-3.12339020758495,4.24794361786096,-0.735271107284075,0.462174400761742,0.726917749168617
"hsa-let-7e-5p",51.6432653503004,-0.404219875989128,0.645521868828674,-0.626190831803423,0.531189780023037,0.726917749168617
"hsa-let-7f-1-3p",0.231685344978709,-2.86582306411285,3.58551620178407,-0.799277677977549,0.424129419247282,0.726917749168617
"hsa-let-7f-2-3p",0.715970444801286,-2.07237774412542,2.66227694345487,-0.778423052199846,0.436319653215594,0.726917749168617
"hsa-let-7f-5p",1021.97713615266,-0.240206989245967,0.626859789826891,-0.383190935428002,0.701578198525077,0.817499883626203
"hsa-let-7g-3p",0.768717546734126,-1.43483310967505,1.96849111294469,-0.728899968224221,0.466062854239838,0.726917749168617
"hsa-let-7g-5p",1441.47023162993,-1.14000024797724,0.70655289003944,-1.61346767389715,0.106642940836761,0.726917749168617
"hsa-let-7i-3p",8.72551796619119,-0.0063957300042172,1.4813794765245,-0.00431741502131675,0.996555211913766,1
"hsa-let-7i-5p",6348.96728747135,0.274147354651469,0.383297560029562,0.715233758937377,0.474464612122562,0.726917749168617
"hsa-miR-1-3p",7.898716353478,0.354343373976955,1.11547145293884,0.317662431470923,0.750741011517722,0.856933089853445
"hsa-miR-100-5p",6.60179485216107,1.43318093829131,0.862862018913824,1.66096189990539,0.0967210989368564,0.726917749168617
"hsa-miR-101-2-5p",0.84047368447693,-1.98499059053146,1.89068806682595,-1.049877357011,0.293774503248123,0.726917749168617
"hsa-miR-101-3p",3957.29943151908,1.339065552877,1.34231990569434,0.9975755758344,0.318485209468701,0.726917749168617
"hsa-miR-101-5p",3.12941189903875,-0.884729039811763,1.67511533611368,-0.528160073959064,0.597388238207226,0.744209557719839
"hsa-miR-10226",0.00825442046391817,-3.25387590283002,4.24825330153745,-0.765932648519906,0.443716378332104,0.726917749168617
"hsa-miR-10392-3p",0.0578106567576744,-3.60943628755064,4.24711998704334,-0.849855030835465,0.395405689684522,0.726917749168617
"hsa-miR-10393-3p",0.0467558128521184,-2.81221990449903,4.24730442284064,-0.662118752160973,0.507895118820149,0.726917749168617
"hsa-miR-10394-3p",0.0477549048449794,-3.10084827240967,4.24789275367445,-0.729973295518682,0.465406508003822,0.726917749168617
"hsa-miR-10395-5p",0.119767692288239,-2.82834573411714,4.24733443130129,-0.665910768239314,0.505468137242923,0.726917749168617
"hsa-miR-10396a-3p",0.292095548788532,-3.69395523333649,4.2414886606748,-0.870910081072528,0.383803251947839,0.726917749168617
"hsa-miR-10396a-5p",0.268108889921891,-2.3413070098803,3.7193828940216,-0.629488029759891,0.529029602940075,0.726917749168617
"hsa-miR-10396b-3p",0.409210833919357,-2.04216076619823,3.46633945103037,-0.589140444854932,0.555767064044957,0.731733231309792
"hsa-miR-10396b-5p",0.277632342861159,-2.22249336517803,3.67690735676646,-0.604446386468798,0.54554690378205,0.726917749168617
"hsa-miR-10398-3p",0.328937335822302,-2.76376412458941,2.71698977003575,-1.01721550631861,0.30905092100782,0.726917749168617
"hsa-miR-10398-5p",0.463815655489321,-1.49896885376842,2.97837423759977,-0.503284253148931,0.614764435993563,0.758864471218842
"hsa-miR-10399-3p",1.74748610528907,-0.788709571551791,1.1250141354792,-0.701066365904674,0.483261599166856,0.726917749168617
"hsa-miR-10399-5p",0.267196525293591,-2.15384363838549,2.23593465677425,-0.963285591490765,0.335404222017989,0.726917749168617
"hsa-miR-103a-1-5p",0.0723337347895932,-3.10084766110859,4.24789275230553,-0.729973151847023,0.465406595825532,0.726917749168617
"hsa-miR-103a-2-5p",0.208612305482479,-2.73059183236392,3.5223304408177,-0.775223074110566,0.438207855879479,0.726917749168617
"hsa-miR-103a-3p",910.572932941031,1.44974656111887,0.746086197984535,1.9431354782265,0.0519997913759205,0.726917749168617
"hsa-miR-103b",913.248369484424,1.38577815911446,0.749752485551843,1.8483141914421,0.0645569039227134,0.726917749168617
"hsa-miR-10400-3p",0.12075057499359,-2.60935583723647,4.24674530334039,-0.614436621660361,0.538926842049755,0.726917749168617
"hsa-miR-10400-5p",0.558112167496022,-1.16264046485421,1.98421161015648,-0.585945802808059,0.557911936209977,0.731733231309792
"hsa-miR-10401-3p",11.5789105336391,-0.329032770077364,1.27483651598072,-0.25809801174721,0.796331266006823,0.896978689904908
"hsa-miR-10401-5p",0.996945349655787,-0.881618678632017,2.16054598129412,-0.408053652301326,0.683234285765183,0.805111013503593
